description,price,rooms,area,location,floor
İSTASYON MAHALLESİ 3+1 SIFIR DAİRELER ARES GAYRİMENKUL' DEN,3.869.999 TL,weekend3+1,texture140 m2,Ankara - Etimesgut - İstasyon Mh.,layers2. Kat
  2 BLOKLU SİTE İÇERİSİNDE GENİŞ MUTFAKLI HASTANEYE ULAŞIMI KOLAY,3.130.000 TL,weekend3.5+1,texture150 m2,Ankara - Keçiören - Etlik Mh.,layers2. Kat
GENÇ BİNADA 3+1 120 M2 ASANSÖRLÜ TERASLI MANTOLAMLI BALKONLU,2.690.000 TL,weekend3+1,texture160 m2,Ankara - Çankaya - Karapınar Mh.,layersKot 1 (-1). Kat
 EMEKTE YENİ LÜKS BİNADA 4+1 TERASLI ARKA DUBLEKS,8.750.000 TL,weekend4+1,texture170 m2,Ankara - Çankaya - Emek Mh.,layers4. Kat
MAMAK NATA VEGA CEPHELİ VADİ MANZARA EVLERİ SATILIK 3+1 DAİRE,3.500.000 TL,weekend3+1,texture145 m2,Ankara - Mamak - Akşemsettin Mh.,layers4. Kat
TOPRAK EMLAKTAN ANK KEÇİÖREN YEŞİLTEPE MAHALLESINDE 3+1 DAIRE ,2.190.000 TL,weekend3+1,texture140 m2,Ankara - Keçiören - Yeşiltepe Mh.,layers1. Kat
" BEŞEVLER M.F.Ç CAD 1+1 YENİ LÜKS ÖN YÜKSEK GİRİŞ "" KUPON DAİRE""",3.900.000 TL,weekend1+1,texture55 m2,Ankara - Çankaya - Bahçelievler Mh.,layersYüksek giriş
 YILMAZ'DAN YÜKSELEN FİYATLARA İNAT CADDE'DE İSKANLI MONTALAMALI,825.000 TL,weekend2+1,texture85 m2,Ankara - Mamak - Şahap Gürler Mh.,layersKot 2 (-2). Kat
" ALTINDAĞ - BEŞİKKAYA MAHALLESİNDE ASANSÖRLÜ, ARA KATTA 3+1 SATIL...",1.585.000 TL,weekend3+1,texture120 m2,Ankara - Altındağ - Beşikkaya Mh.,layers1. Kat
 SİNCAN PLEVNE'DE CADDE ÜZERİ FULL YAPILI MASRAFSIZ GÖMÜSÜZ LÜX D...,1.266.000 TL,weekend2+1,texture100 m2,Ankara - Sincan - Plevne Mh.,layersBahçe katı
TOPRAK EMLAKTAN ANK KEÇİÖREN OSMANGAZİ MAHALLESİ 3+1 DAIRE,1.695.000 TL,weekend3+1,texture140 m2,Ankara - Keçiören - Osmangazi Mh.,layersDüz Giriş (Zemin)
SİNCAN AKŞEMSETTİN MAH .ÖN 1ARAKAT EBEVEYN BANYOLU AYIN FIRSATI,1.579.000 TL,weekend3+1,texture120 m2,Ankara - Sincan - Akşemsettin Mh.,layers1. Kat
"KOÇ'DAN; MEVLANA BULVARI PARALELİ , 4+1 , ASANSÖRLÜ , KOMBİLİ , B...",2.049.000 TL,weekend4+1,texture135 m2,Ankara - Çankaya - Akpınar Mh.,layersKot 1 (-1). Kat
 İNCİRLİ MAHALLESİNDE ALTINDA İKİ KAT DAİRE 2+1 YAPILI FIRSAT DAİ...,1.659.000 TL,weekend2+1,texture115 m2,Ankara - Keçiören - İncirli Mh.,layersKot 1 (-1). Kat
 YAKACIK'TA SIFIR ULTRA LÜX KATTA 3+1 YAPILI DAİRE!!!,2.499.000 TL,weekend3+1,texture130 m2,Ankara - Keçiören - Yakacık Mh.,layers5. Kat
" ALTINDAĞ ALİBEY GÖBEKTE ARA KATTA,ÇİFT BALKONLU 3+1 SATILIK KUPO...",1.575.000 TL,weekend3+1,texture120 m2,Ankara - Altındağ - Beşikkaya Mh.,layers2. Kat
